Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"An Attorney with Laundry, Bank and Fouth, New York, New York",Joel Sternfeld,5656,"(American, born 1944)",(American),(1944),(0),(Male),1990,Chromogenic color print,"42 1/2 × 33 1/2"" (107.9 × 85.1 cm)",The Family of Man Fund,386.1990.x1-x2,Photograph,Photography,1990-10-11,N,52310,,,,,,107.9,,,85.1,,
Untitled,Emmet Gowin,2273,"(American, born 1941)",(American),(1941),(0),(Male),1988,Gelatin silver print (toned),"9 3/4 × 9 5/8"" (24.8 × 24.4 cm)",The Fellows of Photography Fund,386.1997,Photograph,Photography,1997-10-09,Y,52312,http://www.moma.org/collection/works/52312,http://www.moma.org/media/W1siZiIsIjE5OTMwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55d6594de9c0551f,,,,24.8,,,24.4,,
Mr. Bristol's Barn 28,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),c. 1990,Gelatin silver print,"13 5/16 × 10 1/2"" (33.8 × 26.6 cm)",Gift of the artist,386.1998,Photograph,Photography,1998-06-11,Y,52313,http://www.moma.org/collection/works/52313,http://www.moma.org/media/W1siZiIsIjE5MDIwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d16dcbe365ac471c,,,,33.8,,,26.6,,
Mr. Bristol's Barn 49,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),1993,Gelatin silver print,"19 5/16 × 15 11/16"" (49.1 × 39.9 cm)",Gift of the artist,387.1998,Photograph,Photography,1998-06-11,Y,52332,http://www.moma.org/collection/works/52332,http://www.moma.org/media/W1siZiIsIjIwMTE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4b3d724454509832,,,,49.1,,,39.9,,
3 X Jim,JoAnn Verburg,6134,"(American, born 1950)",(American),(1950),(0),(Female),1989,Gelatin silver prints,"Each 24 1/2 × 19 1/16"" (62.2 × 48.5 cm)",The Family of Man Fund,388.1990.a-c,Photograph,Photography,1990-10-11,Y,52346,http://www.moma.org/collection/works/52346,http://www.moma.org/media/W1siZiIsIjIxNjQ5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c222b6d3695e8439,,,,62.2,,,48.5,,
Twenty Dollars,Rachel Harrison,7855,"(American, born 1966)",(American),(1966),(0),(Female),1996,Chromogenic color print,"15 11/16 × 23 1/4"" (39.8 × 59 cm)",E.T. Harmax Foundation Fund,388.1997.x1-x2,Photograph,Photography,1997-10-09,Y,52348,http://www.moma.org/collection/works/52348,http://www.moma.org/media/W1siZiIsIjIxODUzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=52134d272afc608b,,,,39.8,,,59.0,,
Mr. Bristol's Barn 67,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),1994,Gelatin silver print,"15 1/4 × 19 3/8"" (38.7 × 49.2 cm)",Gift of the artist,388.1998,Photograph,Photography,1998-06-11,Y,52349,http://www.moma.org/collection/works/52349,http://www.moma.org/media/W1siZiIsIjIwMTE1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ed069e720b54f171,,,,38.7,,,49.2,,
"Cabinetmaker's Shop, Simi, Dodecanese",Laura Volkerding,6993,"(American, born 1939)",(American),(1939),(0),(Female),1989,Gelatin silver print,"13 5/16 × 18 7/8"" (33.8 × 48 cm)",The Family of Man Fund,389.1990,Photograph,Photography,1990-10-11,Y,52363,http://www.moma.org/collection/works/52363,http://www.moma.org/media/W1siZiIsIjIxNjQ5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cd7d61bc4dd8c1aa,,,,33.8,,,48.0,,
"SMOKE TREES NEAR JACKASS FLAT, ANZA BORREGO DESERT STATE PARK",David Wing,6393,"(American, born 1947)",(American),(1947),(0),(Male),1987,Gelatin silver print,"10 × 12 3/4"" (25.5 × 32.4 cm)",The Family of Man Fund,390.1990,Photograph,Photography,1990-10-11,N,52380,,,,,,25.5,,,32.4,,
Mr. Bristol's Barn 95,John Szarkowski,8084,"(American, 1925–2007)",(American),(1925),(2007),(Male),1994,Gelatin silver print,"13 1/16 × 10 1/4"" (33.2 × 26.1 cm)",Gift of the artist,390.1998,Photograph,Photography,1998-06-11,Y,52383,http://www.moma.org/collection/works/52383,http://www.moma.org/media/W1siZiIsIjE5MDIyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4bb432549ef1b352,,,,33.2,,,26.1,,
