,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
85655,Slept (Heidemarie Wenzel),Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97292,M,American,United States,USA,Global North,North America,MoMA (sampled)
85656,Slept (Joel Markman),Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97293,M,American,United States,USA,Global North,North America,MoMA (sampled)
85657,Slept (Normal Love),Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97294,M,American,United States,USA,Global North,North America,MoMA (sampled)
85658,Slept (Udo) #1,Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97295,M,American,United States,USA,Global North,North America,MoMA (sampled)
85659,Udo Watching Tilda #3,Matt Saunders,2003,Still Images,2005,http://www.moma.org/collection/works/97296,M,American,United States,USA,Global North,North America,MoMA (sampled)
85660,Untitled,Thomas Scheibitz,1999,Still Images,2005,http://www.moma.org/collection/works/97297,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85661,Untitled (Nr. 47),Thomas Scheibitz,2003,Still Images,2005,http://www.moma.org/collection/works/97298,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85662,Untitled (Nr. 56),Thomas Scheibitz,2003,Still Images,2005,http://www.moma.org/collection/works/97299,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85663,Untitled (Nr. 66),Thomas Scheibitz,2003,Still Images,2005,,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85664,Untitled,Thomas Scheibitz,2004,Still Images,2005,http://www.moma.org/collection/works/97301,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85665,Untitled (Smoke - Fur Tips),David Scher,1997,Still Images,2005,http://www.moma.org/collection/works/97302,M,American,United States,USA,Global North,North America,MoMA (sampled)
85666,Old Grease #4,David Scher,1996,Still Images,2005,http://www.moma.org/collection/works/97303,M,American,United States,USA,Global North,North America,MoMA (sampled)
85667,Untitled #24,David Scher,1996,Still Images,2005,http://www.moma.org/collection/works/97304,M,American,United States,USA,Global North,North America,MoMA (sampled)
85668,Untitled (3247-B),David Scher,1998,Still Images,2005,http://www.moma.org/collection/works/97305,M,American,United States,USA,Global North,North America,MoMA (sampled)
85669,"120 x 100, I",Jörg Schlick,1986,Still Images,2005,http://www.moma.org/collection/works/97306,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85670,"120 x 100, II",Jörg Schlick,1986,Still Images,2005,http://www.moma.org/collection/works/97307,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85671,"120 x 100, III",Jörg Schlick,1986,Still Images,2005,http://www.moma.org/collection/works/97308,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85672,Venetian Blinds,Mathias Schmied,2004,Still Images,2005,http://www.moma.org/collection/works/97309,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
85673,Venetian Blinds,Mathias Schmied,2001,Still Images,2005,http://www.moma.org/collection/works/97310,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
85674,Venetian Blinds,Mathias Schmied,2002,Still Images,2005,http://www.moma.org/collection/works/97311,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
85675,Venetian Blinds,Mathias Schmied,2003,Still Images,2005,http://www.moma.org/collection/works/97312,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
85676,Store Venetian  II,Mathias Schmied,2004,Still Images,2005,http://www.moma.org/collection/works/97313,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
85677,Untitled,Katy Schimert,2003,Still Images,2005,http://www.moma.org/collection/works/97314,F,American,United States,USA,Global North,North America,MoMA (sampled)
85678,Mouth/Mouth,Carolee Schneemann,1997,Still Images,2005,http://www.moma.org/collection/works/97315,F,American,United States,USA,Global North,North America,MoMA (sampled)
85679,Untitled (3),Lara Schnitger,1999,Still Images,2005,http://www.moma.org/collection/works/97316,F,Dutch,Netherlands,NLD,Global North,Europe,MoMA (sampled)
85680,Ciara,Lara Schnitger,2000,Still Images,2005,http://www.moma.org/collection/works/97318,F,Dutch,Netherlands,NLD,Global North,Europe,MoMA (sampled)
85681,Bunny,Lara Schnitger,2001,Still Images,2005,http://www.moma.org/collection/works/97319,F,Dutch,Netherlands,NLD,Global North,Europe,MoMA (sampled)
85682,Untitled (Die Burg),Thomas Schütte,1984,Still Images,2005,http://www.moma.org/collection/works/97320,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85683,September Notes (High Time...),Thomas Schütte,1989,Still Images,2005,http://www.moma.org/collection/works/97321,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
