Title;Artist;dateCreated;Department;dateAcquired;URL;Gender;Nationality;Nation;country_code;Divide;Region;Source
Rosebud;James Richards;2013;Media and Performance;2014;http://www.moma.org/collection/works/184652;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Not Blacking Out, Just Turning the Lights Off;James Richards;2011;Media and Performance;2014;http://www.moma.org/collection/works/184653;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Distorted Cubes (C) from Distorted Cubes (A-E);Sol LeWitt;2001;Still Images;2002;http://www.moma.org/collection/works/184687;M;American;United States;USA;Global North;North America;MoMA (sampled)
Distorted Cubes (D) from Distorted Cubes (A-E);Sol LeWitt;2001;Still Images;2002;http://www.moma.org/collection/works/184688;M;American;United States;USA;Global North;North America;MoMA (sampled)
Distorted Cubes (E) from Distorted Cubes (A-E);Sol LeWitt;2001;Still Images;2002;http://www.moma.org/collection/works/184689;M;American;United States;USA;Global North;North America;MoMA (sampled)
Projection Screen;Douglas Prince;1983;Still Images;2014;http://www.moma.org/collection/works/184719;M;American;United States;USA;Global North;North America;MoMA (sampled)
The History of the World;Jeremy Deller;1998;Still Images;2014;http://www.moma.org/collection/works/184720;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Bell (for Parkett no. 93);Valentin Carron;2013;Still Images;2014;http://www.moma.org/collection/works/184721;M;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
From the Series Brick Farm (for Parkett no. 93);Adrián Villar Rojas;2013;Still Images;2014;http://www.moma.org/collection/works/184722;M;Argentine;Argentina;ARG;Global South;South/Latin America;MoMA (sampled)
Dishonest but Appealing (for Parkett no. 93);Frances Stark;2013;Still Images;2014;http://www.moma.org/collection/works/184723;F;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled (for Parkett no. 93);Danh Vo;2013;Still Images;2014;http://www.moma.org/collection/works/184724;M;Danish;Denmark;DNK;Global North;Europe;MoMA (sampled)
How We See/Look 1/Daria;Laurie Simmons;2014;Still Images;2014;http://www.moma.org/collection/works/184738;F;American;United States;USA;Global North;North America;MoMA (sampled)
The Brown Sisters, Wellfleet, Massachusetts;Nicholas Nixon;2014;Still Images;2014;http://www.moma.org/collection/works/185231;M;American;United States;USA;Global North;North America;MoMA (sampled)
The Brown Sisters, Wellfleet, Massachusetts;Nicholas Nixon;2014;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Manifestos 2;Charles Gaines;2013;Media and Performance;2013;http://www.moma.org/collection/works/185304;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled;Jan Dibbets;1998;Still Images;2014;;M;Dutch;Netherlands;NLD;Global North;Europe;MoMA (sampled)
untitled (the days of this society is numbered / December 7, 2012);Rirkrit Tiravanija;2014;Still Images;2014;http://www.moma.org/collection/works/185749;M;Thai;Thailand;THA;Global South;Asia & Pacific;MoMA (sampled)
Buddha of Immeasurable Light;Sarah Charlesworth;1987;Still Images;2014;http://www.moma.org/collection/works/185769;F;American;United States;USA;Global North;North America;MoMA (sampled)
Definitely Not Sterile, from the series Art & Science: Investigating Matter;Catherine Wagner;1995;Still Images;2014;http://www.moma.org/collection/works/185771;F;American;United States;USA;Global North;North America;MoMA (sampled)
Hors d'oeuvres;Matthew Brannon;2014;Still Images;2014;http://www.moma.org/collection/works/185795;M;American;United States;USA;Global North;North America;MoMA (sampled)
I'd Rather be Reading;Jeremy Deller;2013;Still Images;2014;http://www.moma.org/collection/works/185796;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
I'd Rather be Reading;Jeremy Deller;2013;Still Images;2014;http://www.moma.org/collection/works/185797;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Black Loops & Curves No. 4;Sol LeWitt;1999;Still Images;2014;http://www.moma.org/collection/works/185830;M;American;United States;USA;Global North;North America;MoMA (sampled)
Wavy Horizontal Lines/Diptych;Sol LeWitt;1996;Still Images;2014;http://www.moma.org/collection/works/185831;M;American;United States;USA;Global North;North America;MoMA (sampled)
Irregular, Angular Brushstrokes;Sol LeWitt;1997;Still Images;2014;http://www.moma.org/collection/works/185832;M;American;United States;USA;Global North;North America;MoMA (sampled)
Black Curvy Brushstrokes;Sol LeWitt;1997;Still Images;2014;http://www.moma.org/collection/works/185833;M;American;United States;USA;Global North;North America;MoMA (sampled)
Black/Black Curvy Brushstrokes;Sol LeWitt;1997;Still Images;2014;http://www.moma.org/collection/works/185834;M;American;United States;USA;Global North;North America;MoMA (sampled)
Curvy Brushstrokes I;Sol LeWitt;1997;Still Images;2014;http://www.moma.org/collection/works/185835;M;American;United States;USA;Global North;North America;MoMA (sampled)
Loops & Curves Gray/Gray;Sol LeWitt;1999;Still Images;2014;http://www.moma.org/collection/works/185836;M;American;United States;USA;Global North;North America;MoMA (sampled)
Whirls and Twirls (Black and Grays);Sol LeWitt;2005;Still Images;2014;http://www.moma.org/collection/works/185837;M;American;United States;USA;Global North;North America;MoMA (sampled)
Isometric Figures;Sol LeWitt;2002;Still Images;2014;http://www.moma.org/collection/works/185838;M;American;United States;USA;Global North;North America;MoMA (sampled)
Stars;Sol LeWitt;2002;Still Images;2014;http://www.moma.org/collection/works/185839;M;American;United States;USA;Global North;North America;MoMA (sampled)
Isometric Figure with Bars of Color;Sol LeWitt;2003;Still Images;2014;http://www.moma.org/collection/works/185840;M;American;United States;USA;Global North;North America;MoMA (sampled)
One Cube with Colors Superimposed (Blue);Sol LeWitt;1988;Still Images;2014;http://www.moma.org/collection/works/185841;M;American;United States;USA;Global North;North America;MoMA (sampled)
Complex Form with Black and White Bands;Sol LeWitt;1988;Still Images;2014;http://www.moma.org/collection/works/185842;M;American;United States;USA;Global North;North America;MoMA (sampled)
Tilted Forms with Colors Superimposed;Sol LeWitt;1989;Still Images;2014;http://www.moma.org/collection/works/185843;M;American;United States;USA;Global North;North America;MoMA (sampled)
Bands of Color from Lower Left Corner (Single);Sol LeWitt;1989;Still Images;2014;http://www.moma.org/collection/works/185844;M;American;United States;USA;Global North;North America;MoMA (sampled)
"A Rectangle Bordered and Divided Vertically into Three Equal Squares; One Red, One Yellow; and One Blue, Each with Black Lines in Four Directions";Sol LeWitt;1992;Still Images;2014;http://www.moma.org/collection/works/185845;M;American;United States;USA;Global North;North America;MoMA (sampled)
Color Rectangles;Sol LeWitt;1995;Still Images;2014;http://www.moma.org/collection/works/185846;M;American;United States;USA;Global North;North America;MoMA (sampled)
Purple, Green Curve;Sol LeWitt;1999;Still Images;2014;http://www.moma.org/collection/works/185847;M;American;United States;USA;Global North;North America;MoMA (sampled)
Arcs and Bands in Color;Sol LeWitt;1999;Still Images;2014;http://www.moma.org/collection/works/185848;M;American;United States;USA;Global North;North America;MoMA (sampled)
Arcs from Four Corners;Sol LeWitt;1986;Still Images;2014;http://www.moma.org/collection/works/185849;M;American;United States;USA;Global North;North America;MoMA (sampled)
Liverpool, England;Martin Parr;1983;Still Images;2014;http://www.moma.org/collection/works/185860;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Donated Object: Family Choice Chocolate Syrup;Pope.L;2003;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
New Brighton, Merseyside;Martin Parr;1985;Still Images;2014;http://www.moma.org/collection/works/185870;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
New Brighton, Merseyside;Martin Parr;1983;Still Images;2014;http://www.moma.org/collection/works/185871;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
New Brighton, Merseyside;Martin Parr;1983;Still Images;2014;http://www.moma.org/collection/works/185872;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
New Brighton, Merseyside;Martin Parr;1985;Still Images;2014;http://www.moma.org/collection/works/185873;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
New Brighton, Merseyside;Martin Parr;1985;Still Images;2014;http://www.moma.org/collection/works/185874;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Newport, Wales;Martin Parr;1988;Still Images;2014;http://www.moma.org/collection/works/185875;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Wedding Preparations, England;Martin Parr;1988;Still Images;2014;http://www.moma.org/collection/works/185876;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Snowdonia, Wales;Martin Parr;1989;Still Images;2014;http://www.moma.org/collection/works/185877;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
I don't think it's anything particularly forced on Deborah. We've just always enjoyed the same sort of things;Martin Parr;1991;Still Images;2014;http://www.moma.org/collection/works/185878;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Tourists outside Buckingham Palace in the Rain, London, England;Martin Parr;1993;Still Images;2014;http://www.moma.org/collection/works/185879;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Volcano, Big Island, Hawaii;Martin Parr;1993;Still Images;2014;http://www.moma.org/collection/works/185880;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
The Grand Canyon, Arizona;Martin Parr;1994;Still Images;2014;http://www.moma.org/collection/works/185881;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
The Luxor Hotel and Casino, Las Vegas;Martin Parr;1994;Still Images;2014;http://www.moma.org/collection/works/185882;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Las Vegas;Martin Parr;2000;Still Images;2014;http://www.moma.org/collection/works/185883;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Mexico;Martin Parr;2002;Still Images;2014;http://www.moma.org/collection/works/185884;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Florida;Martin Parr;1998;Still Images;2014;http://www.moma.org/collection/works/185885;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Miami, Florida;Martin Parr;1998;Still Images;2014;http://www.moma.org/collection/works/185886;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Venice Beach, California;Martin Parr;1998;Still Images;2014;http://www.moma.org/collection/works/185887;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
